"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"2006-09-01","Men's clothing stores",718,8844,8.1184984170058797
"2006-10-01","Women's clothing stores",3197,38809,8.2377798964157798
"2006-10-01","Men's clothing stores",781,8844,8.8308457711442786
"2006-11-01","Women's clothing stores",3414,38809,8.7969285475018681
"2006-11-01","Men's clothing stores",823,8844,9.3057440072365445
"2006-12-01","Men's clothing stores",1306,8844,14.7670737222976029
"2006-12-01","Women's clothing stores",5019,38809,12.9325671880233966
"2007-01-01","Women's clothing stores",2639,40294,6.5493621879187968
"2007-01-01","Men's clothing stores",625,8772,7.1249430004559964
"2007-02-01","Men's clothing stores",600,8772,6.8399452804377565
"2007-02-01","Women's clothing stores",2694,40294,6.6858589368144141
"2007-03-01","Women's clothing stores",3499,40294,8.6836749888320842
"2007-03-01","Men's clothing stores",679,8772,7.7405380756953944
"2007-04-01","Men's clothing stores",731,8772,8.3333333333333333
"2007-04-01","Women's clothing stores",3531,40294,8.7630912790986251
"2007-05-01","Men's clothing stores",740,8772,8.4359325125398997
"2007-05-01","Women's clothing stores",3760,40294,9.3314141063185586
"2007-06-01","Women's clothing stores",3412,40294,8.4677619496699260
"2007-06-01","Men's clothing stores",718,8772,8.1851345189238486
"2007-07-01","Men's clothing stores",629,8772,7.1705426356589147
"2007-07-01","Women's clothing stores",2770,40294,6.8744726261974488
"2007-08-01","Women's clothing stores",3205,40294,7.9540378220082394
"2007-08-01","Men's clothing stores",636,8772,7.2503419972640219
"2007-09-01","Men's clothing stores",656,8772,7.4783401732786138
"2007-09-01","Women's clothing stores",3177,40294,7.8845485680250161
"2007-10-01","Women's clothing stores",3306,40294,8.2046954881620092
"2007-10-01","Men's clothing stores",717,8772,8.1737346101231190
"2007-11-01","Men's clothing stores",804,8772,9.1655266757865937
"2007-11-01","Women's clothing stores",3598,40294,8.9293691368441952
"2007-12-01","Women's clothing stores",4703,40294,11.6717129101106865
"2007-12-01","Men's clothing stores",1237,8772,14.1016871865025080
"2008-01-01","Women's clothing stores",2519,38402,6.5595541898859434
"2008-01-01","Men's clothing stores",609,8351,7.2925398155909472
"2008-02-01","Men's clothing stores",586,8351,7.0171236977607472
"2008-02-01","Women's clothing stores",2763,38402,7.1949377636581428
