"sales_month","moving_avg","records_count"
"2016-05-01",3436.8333333333333333,12
"2016-06-01",3437.5833333333333333,12
"2016-07-01",3434.2500000000000000,12
"2016-08-01",3434.6666666666666667,12
"2016-09-01",3435.1666666666666667,12
"2016-10-01",3420.1666666666666667,12
"2016-11-01",3420.0833333333333333,12
"2016-12-01",3403.7500000000000000,12
"2017-01-01",3401.8333333333333333,12
"2017-02-01",3387.1666666666666667,12
"2017-03-01",3372.6666666666666667,12
"2017-04-01",3381.4166666666666667,12
"2017-05-01",3382.2500000000000000,12
"2017-06-01",3390.6666666666666667,12
"2017-07-01",3395.5000000000000000,12
"2017-08-01",3387.5833333333333333,12
"2017-09-01",3383.5833333333333333,12
"2017-10-01",3385.6666666666666667,12
"2017-11-01",3390.3333333333333333,12
"2017-12-01",3388.3333333333333333,12
"2018-01-01",3383.0833333333333333,12
"2018-02-01",3379.5833333333333333,12
"2018-03-01",3384.5833333333333333,12
"2018-04-01",3368.3333333333333333,12
"2018-05-01",3384.0833333333333333,12
"2018-06-01",3380.5000000000000000,12
"2018-07-01",3381.2500000000000000,12
"2018-08-01",3387.9166666666666667,12
"2018-09-01",3392.5833333333333333,12
"2018-10-01",3411.0833333333333333,12
"2018-11-01",3443.0000000000000000,12
"2018-12-01",3431.0833333333333333,12
"2019-01-01",3441.0833333333333333,12
"2019-02-01",3437.6666666666666667,12
"2019-03-01",3441.0000000000000000,12
"2019-04-01",3455.5833333333333333,12
"2019-05-01",3455.7500000000000000,12
"2019-06-01",3453.5833333333333333,12
"2019-07-01",3458.0000000000000000,12
"2019-08-01",3454.0000000000000000,12
"2019-09-01",3445.8333333333333333,12
"2019-10-01",3434.9166666666666667,12
"2019-11-01",3409.3333333333333333,12
"2019-12-01",3405.0833333333333333,12
"2020-01-01",3406.8333333333333333,12
"2020-02-01",3416.5833333333333333,12
"2020-03-01",3248.1666666666666667,12
"2020-04-01",2989.0833333333333333,12
"2020-05-01",2763.4166666666666667,12
"2020-06-01",2659.6666666666666667,12
"2020-07-01",2585.6666666666666667,12
"2020-08-01",2507.4166666666666667,12
"2020-09-01",2458.5833333333333333,12
"2020-10-01",2395.5833333333333333,12
"2020-11-01",2301.9166666666666667,12
"2020-12-01",2210.5000000000000000,12
