"sales_month","kind_of_business","sales"
"2005-02-01","Women's clothing stores",2453
"2005-03-01","Men's clothing stores",699
"2005-03-01","Women's clothing stores",3105
"2005-04-01","Men's clothing stores",672
"2005-04-01","Women's clothing stores",3177
"2005-05-01","Men's clothing stores",698
"2005-05-01","Women's clothing stores",3164
"2005-09-01","Women's clothing stores",2963
"2005-06-01","Men's clothing stores",719
"2005-06-01","Women's clothing stores",3045
"2005-07-01","Men's clothing stores",646
"2005-07-01","Women's clothing stores",2741
"2005-08-01","Men's clothing stores",740
"2005-08-01","Women's clothing stores",2871
"2005-10-01","Men's clothing stores",717
"2005-10-01","Women's clothing stores",3120
"2005-11-01","Men's clothing stores",809
"2005-11-01","Women's clothing stores",3342
"2005-12-01","Men's clothing stores",1252
"2005-12-01","Women's clothing stores",4756
"2006-01-01","Men's clothing stores",570
"2006-01-01","Women's clothing stores",2518
"2006-02-01","Men's clothing stores",557
"2006-02-01","Women's clothing stores",2518
"2006-03-01","Men's clothing stores",660
"2006-03-01","Women's clothing stores",3194
"2006-04-01","Men's clothing stores",693
"2006-04-01","Women's clothing stores",3379
"2006-05-01","Men's clothing stores",693
"2006-05-01","Women's clothing stores",3340
"2006-06-01","Men's clothing stores",704
"2006-06-01","Women's clothing stores",3183
"2006-07-01","Men's clothing stores",623
"2006-07-01","Women's clothing stores",2923
"2006-08-01","Men's clothing stores",716
"2006-08-01","Women's clothing stores",2960
"2006-09-01","Men's clothing stores",718
"2006-09-01","Women's clothing stores",3164
"2006-10-01","Men's clothing stores",781
"2006-10-01","Women's clothing stores",3197
"2006-11-01","Men's clothing stores",823
"2006-11-01","Women's clothing stores",3414
"2006-12-01","Men's clothing stores",1306
"2006-12-01","Women's clothing stores",5019
"2007-01-01","Men's clothing stores",625
"2007-01-01","Women's clothing stores",2639
"2007-02-01","Men's clothing stores",600
"2007-02-01","Women's clothing stores",2694
"2007-03-01","Men's clothing stores",679
"2007-03-01","Women's clothing stores",3499
"2007-04-01","Men's clothing stores",731
"2007-04-01","Women's clothing stores",3531
"2007-05-01","Men's clothing stores",740
"2007-05-01","Women's clothing stores",3760
"2007-06-01","Men's clothing stores",718
"2007-06-01","Women's clothing stores",3412
"2007-07-01","Men's clothing stores",629
"2007-07-01","Women's clothing stores",2770
"2007-08-01","Men's clothing stores",636
"2007-08-01","Women's clothing stores",3205
"2007-09-01","Men's clothing stores",656
"2007-09-01","Women's clothing stores",3177
"2007-10-01","Men's clothing stores",717
"2007-10-01","Women's clothing stores",3306
"2007-11-01","Men's clothing stores",804
"2007-11-01","Women's clothing stores",3598
"2007-12-01","Men's clothing stores",1237
"2007-12-01","Women's clothing stores",4703
"2008-01-01","Men's clothing stores",609
"2008-01-01","Women's clothing stores",2519
"2008-02-01","Men's clothing stores",586
"2008-02-01","Women's clothing stores",2763
"2008-03-01","Men's clothing stores",681
"2008-03-01","Women's clothing stores",3392
"2008-04-01","Men's clothing stores",710
"2008-04-01","Women's clothing stores",3439
"2008-05-01","Men's clothing stores",757
"2008-05-01","Women's clothing stores",3603
"2008-06-01","Men's clothing stores",715
"2008-06-01","Women's clothing stores",3149
"2008-07-01","Men's clothing stores",622
"2008-07-01","Women's clothing stores",2972
"2008-08-01","Men's clothing stores",655
"2008-08-01","Women's clothing stores",3144
"2008-09-01","Men's clothing stores",635
"2008-09-01","Women's clothing stores",3064
"2008-10-01","Men's clothing stores",664
"2008-10-01","Women's clothing stores",3071
"2008-11-01","Men's clothing stores",708
"2008-11-01","Women's clothing stores",3242
"2008-12-01","Men's clothing stores",1009
"2008-12-01","Women's clothing stores",4044
"2009-01-01","Men's clothing stores",524
"2009-01-01","Women's clothing stores",2285
"2009-02-01","Men's clothing stores",496
"2009-02-01","Women's clothing stores",2424
"2009-03-01","Men's clothing stores",542
"2009-03-01","Women's clothing stores",2953
"2009-04-01","Men's clothing stores",669
"2009-04-01","Women's clothing stores",3264
"2009-05-01","Men's clothing stores",650
"2009-05-01","Women's clothing stores",3280
"2009-06-01","Men's clothing stores",607
"2009-06-01","Women's clothing stores",2894
"2009-07-01","Men's clothing stores",575
"2009-07-01","Women's clothing stores",2716
"2009-08-01","Men's clothing stores",551
"2009-08-01","Women's clothing stores",2942
"2009-09-01","Men's clothing stores",579
"2009-09-01","Women's clothing stores",2939
