"sales_month","kind_of_business","sales","total_sales","pctg_total"
"1998-07-01","Men's clothing stores",757,2979,25.4112118160456529
"1998-07-01","Women's clothing stores",2222,2979,74.5887881839543471
"1998-08-01","Men's clothing stores",844,3171,26.6162093976663513
"1998-08-01","Women's clothing stores",2327,3171,73.3837906023336487
"1998-09-01","Men's clothing stores",754,2998,25.1501000667111408
"1998-09-01","Women's clothing stores",2244,2998,74.8498999332888592
"1998-10-01","Men's clothing stores",865,3287,26.3157894736842105
"1998-10-01","Women's clothing stores",2422,3287,73.6842105263157895
"1998-11-01","Men's clothing stores",955,3486,27.3952954675846242
"1998-11-01","Women's clothing stores",2531,3486,72.6047045324153758
"1998-12-01","Men's clothing stores",1429,5059,28.2466890689859656
"1998-12-01","Women's clothing stores",3630,5059,71.7533109310140344
"1999-01-01","Men's clothing stores",684,2429,28.1597365170852203
"1999-01-01","Women's clothing stores",1745,2429,71.8402634829147797
"1999-02-01","Women's clothing stores",1883,2493,75.5314881668672282
"1999-02-01","Men's clothing stores",610,2493,24.4685118331327718
"1999-03-01","Women's clothing stores",2507,3215,77.9782270606531882
"1999-03-01","Men's clothing stores",708,3215,22.0217729393468118
"1999-04-01","Men's clothing stores",812,3428,23.6872812135355893
"1999-04-01","Women's clothing stores",2616,3428,76.3127187864644107
"1999-05-01","Men's clothing stores",803,3490,23.0085959885386819
"1999-05-01","Women's clothing stores",2687,3490,76.9914040114613181
"1999-06-01","Women's clothing stores",2405,3196,75.2503128911138924
"1999-06-01","Men's clothing stores",791,3196,24.7496871088861076
"1999-07-01","Men's clothing stores",723,3026,23.8929279576999339
"1999-07-01","Women's clothing stores",2303,3026,76.1070720423000661
"1999-08-01","Women's clothing stores",2407,3196,75.3128911138923655
"1999-08-01","Men's clothing stores",789,3196,24.6871088861076345
"1999-09-01","Men's clothing stores",714,3067,23.2800782523638735
"1999-09-01","Women's clothing stores",2353,3067,76.7199217476361265
"1999-10-01","Women's clothing stores",2440,3242,75.2621838371375694
"1999-10-01","Men's clothing stores",802,3242,24.7378161628624306
"1999-11-01","Women's clothing stores",2564,3460,74.1040462427745665
"1999-11-01","Men's clothing stores",896,3460,25.8959537572254335
"1999-12-01","Men's clothing stores",1335,4974,26.8395657418576598
"1999-12-01","Women's clothing stores",3639,4974,73.1604342581423402
"2000-01-01","Men's clothing stores",635,2317,27.4061286145878291
"2000-01-01","Women's clothing stores",1682,2317,72.5938713854121709
