"sales_month","kind_of_business","pctg_total_sales"
"2013-05-01","Men's clothing stores",20.0053418803418803
"2008-02-01","Women's clothing stores",100.0000000000000000
"2019-01-01","Men's clothing stores",23.2974910394265233
"1996-06-01","Men's clothing stores",31.9578947368421053
"2005-05-01","Men's clothing stores",22.0606826801517067
"2014-02-01","Women's clothing stores",100.0000000000000000
"2009-04-01","Women's clothing stores",100.0000000000000000
"2014-09-01","Women's clothing stores",100.0000000000000000
"1992-06-01","Women's clothing stores",100.0000000000000000
"2016-11-01","Men's clothing stores",19.6342119419042496
"1996-04-01","Men's clothing stores",30.6052855924978687
"1995-03-01","Men's clothing stores",28.1654826577517760
"2019-10-01","Men's clothing stores",19.8820058997050147
"2002-04-01","Women's clothing stores",100.0000000000000000
"2006-08-01","Women's clothing stores",100.0000000000000000
"2006-07-01","Women's clothing stores",100.0000000000000000
"2005-12-01","Women's clothing stores",100.0000000000000000
"2011-07-01","Men's clothing stores",19.1830065359477124
"2015-07-01","Men's clothing stores",20.7796290474693493
"2003-03-01","Men's clothing stores",22.9476899579992363
"2017-12-01","Women's clothing stores",100.0000000000000000
"2013-10-01","Women's clothing stores",100.0000000000000000
"1993-12-01","Men's clothing stores",38.3213429256594724
"1993-06-01","Men's clothing stores",31.0344827586206897
"2009-12-01","Men's clothing stores",22.8276877761413844
"1993-02-01","Women's clothing stores",100.0000000000000000
"2011-03-01","Men's clothing stores",17.3673528559002609
"2005-11-01","Men's clothing stores",24.2070616397366846
"1999-12-01","Women's clothing stores",100.0000000000000000
"2006-10-01","Women's clothing stores",100.0000000000000000
"2020-08-01","Men's clothing stores",15.8843252305113160
"2016-08-01","Men's clothing stores",19.6576151121605667
"2010-03-01","Women's clothing stores",100.0000000000000000
"2018-10-01","Women's clothing stores",100.0000000000000000
"2017-09-01","Men's clothing stores",21.6527866752081999
"2009-04-01","Men's clothing stores",20.4963235294117647
"2013-01-01","Women's clothing stores",100.0000000000000000
"2013-03-01","Women's clothing stores",100.0000000000000000
"2002-06-01","Women's clothing stores",100.0000000000000000
"2011-08-01","Women's clothing stores",100.0000000000000000
"2019-05-01","Women's clothing stores",100.0000000000000000
"2016-11-01","Women's clothing stores",100.0000000000000000
"2010-03-01","Men's clothing stores",17.2487093835408442
"2005-05-01","Women's clothing stores",100.0000000000000000
"1995-06-01","Men's clothing stores",31.3958421722528638
"2014-04-01","Women's clothing stores",100.0000000000000000
"1992-07-01","Women's clothing stores",100.0000000000000000
"2004-04-01","Women's clothing stores",100.0000000000000000
"1996-09-01","Men's clothing stores",32.6889279437609842
"2015-02-01","Men's clothing stores",22.9181752353367125
"2004-07-01","Women's clothing stores",100.0000000000000000
"1992-03-01","Women's clothing stores",100.0000000000000000
"2000-01-01","Women's clothing stores",100.0000000000000000
"2017-10-01","Women's clothing stores",100.0000000000000000
"2005-10-01","Women's clothing stores",100.0000000000000000
"1994-02-01","Women's clothing stores",100.0000000000000000
"1992-12-01","Men's clothing stores",35.2581521739130435
"2012-12-01","Women's clothing stores",100.0000000000000000
"2003-02-01","Women's clothing stores",100.0000000000000000
"2007-01-01","Men's clothing stores",23.6832133383857522
"2013-02-01","Women's clothing stores",100.0000000000000000
"1992-11-01","Women's clothing stores",100.0000000000000000
"2020-04-01","Women's clothing stores",100.0000000000000000
"2004-08-01","Men's clothing stores",27.2314674735249622
"1998-01-01","Men's clothing stores",41.5795586527293844
"2004-10-01","Women's clothing stores",100.0000000000000000
"2019-04-01","Women's clothing stores",100.0000000000000000
"1999-12-01","Men's clothing stores",36.6859027205276175
"1997-01-01","Women's clothing stores",100.0000000000000000
"1997-05-01","Women's clothing stores",100.0000000000000000
"1997-02-01","Women's clothing stores",100.0000000000000000
"2003-11-01","Women's clothing stores",100.0000000000000000
"1997-01-01","Men's clothing stores",41.0241318422601530
"1994-10-01","Women's clothing stores",100.0000000000000000
"2020-07-01","Men's clothing stores",17.0670037926675095
"2003-09-01","Men's clothing stores",23.7913970308336506
"2000-02-01","Men's clothing stores",30.6880964339527875
