"sales_month","sales","moving_avg","records_count"
"1994-02-01",1970,2664.8333333333333333,12
"2016-04-01",3519,3448.5000000000000000,12
"2017-02-01",2763,3387.1666666666666667,12
"2001-07-01",2311,2648.2500000000000000,12
"2001-11-01",2786,2622.1666666666666667,12
"2016-05-01",3606,3436.8333333333333333,12
"2019-01-01",2511,3441.0833333333333333,12
"2011-12-01",4816,3337.3333333333333333,12
"2007-08-01",3205,3358.6666666666666667,12
"1994-03-01",2560,2674.6666666666666667,12
"2003-09-01",2627,2645.7500000000000000,12
"2012-06-01",3374,3433.7500000000000000,12
"2016-09-01",3170,3435.1666666666666667,12
"2012-05-01",3693,3426.3333333333333333,12
"2005-08-01",2871,3018.3333333333333333,12
"2011-11-01",3625,3306.0000000000000000,12
"1997-04-01",2227,2366.0000000000000000,12
"2009-03-01",2953,3115.8333333333333333,12
"1998-09-01",2244,2345.7500000000000000,12
"2006-01-01",2518,3104.5833333333333333,12
"2018-07-01",3208,3381.2500000000000000,12
"2000-09-01",2658,2562.1666666666666667,12
"2016-07-01",3141,3434.2500000000000000,12
"1996-12-01",3665,2353.1666666666666667,12
"2018-02-01",2721,3379.5833333333333333,12
"2004-12-01",4472,2912.8333333333333333,12
"2014-05-01",3774,3462.1666666666666667,12
"2000-07-01",2382,2517.3333333333333333,12
"2002-01-01",1987,2624.5000000000000000,12
"2003-12-01",4309,2713.7500000000000000,12
"2019-05-01",3807,3455.7500000000000000,12
"1996-04-01",2346,2355.8333333333333333,12
"2012-02-01",3036,3377.5000000000000000,12
"1993-05-01",2873,2694.6666666666666667,12
"1996-03-01",2193,2363.5000000000000000,12
"2008-06-01",3149,3302.0000000000000000,12
"2018-06-01",3298,3380.5000000000000000,12
"2016-10-01",3274,3420.1666666666666667,12
"2013-05-01",3744,3462.2500000000000000,12
"2011-07-01",3060,3259.2500000000000000,12
"2016-03-01",3659,3443.4166666666666667,12
"2003-08-01",2597,2624.5833333333333333,12
"2017-05-01",3616,3382.2500000000000000,12
"2010-12-01",4440,3140.8333333333333333,12
"2009-02-01",2424,3152.4166666666666667,12
"2006-08-01",2960,3183.0000000000000000,12
"2013-01-01",2664,3492.8333333333333333,12
"2015-10-01",3454,3437.2500000000000000,12
"1996-08-01",2353,2352.6666666666666667,12
"2019-08-01",3325,3454.0000000000000000,12
"2012-11-01",3823,3493.0833333333333333,12
"2010-10-01",3214,3088.2500000000000000,12
"2019-11-01",3850,3409.3333333333333333,12
"2009-11-01",3189,3002.0833333333333333,12
"2008-03-01",3392,3344.6666666666666667,12
"2009-05-01",3280,3074.3333333333333333,12
"2019-03-01",3585,3441.0000000000000000,12
"2017-12-01",4690,3388.3333333333333333,12
"1995-12-01",3693,2391.3333333333333333,12
"1999-11-01",2564,2461.6666666666666667,12
"2008-01-01",2519,3347.8333333333333333,12
"2011-03-01",3449,3180.0000000000000000,12
"2000-08-01",2640,2536.7500000000000000,12
"1998-12-01",3630,2361.0000000000000000,12
"2020-02-01",2797,3416.5833333333333333,12
"2009-06-01",2894,3053.0833333333333333,12
"2020-12-01",3399,2210.5000000000000000,12
"2020-07-01",2373,2585.6666666666666667,12
"2005-02-01",2453,2923.0000000000000000,12
"1993-02-01",2005,2673.2500000000000000,12
"2002-06-01",2478,2622.0833333333333333,12
"1994-06-01",2447,2622.1666666666666667,12
"2012-03-01",3840,3410.0833333333333333,12
"1999-01-01",1745,2362.9166666666666667,12
"2014-10-01",3484,3445.3333333333333333,12
"1995-07-01",2172,2491.0000000000000000,12
"2020-05-01",1099,2763.4166666666666667,12
"2018-08-01",3373,3387.9166666666666667,12
"2009-10-01",3095,3006.5000000000000000,12
"2002-09-01",2373,2605.8333333333333333,12
"1998-07-01",2222,2348.0833333333333333,12
"1996-05-01",2552,2357.2500000000000000,12
"2014-08-01",3455,3451.7500000000000000,12
"2002-08-01",2538,2607.5833333333333333,12
"2018-10-01",3521,3411.0833333333333333,12
"2012-07-01",3094,3436.5833333333333333,12
"1999-04-01",2616,2407.7500000000000000,12
"2003-02-01",2091,2603.8333333333333333,12
"2019-12-01",4496,3405.0833333333333333,12
"2013-12-01",4750,3482.2500000000000000,12
"2010-02-01",2480,3010.8333333333333333,12
"2007-05-01",3760,3331.9166666666666667,12
"2016-11-01",3718,3420.0833333333333333,12
"1997-07-01",2103,2343.6666666666666667,12
"2010-08-01",2960,3068.1666666666666667,12
"1999-07-01",2303,2441.6666666666666667,12
"2019-06-01",3272,3453.5833333333333333,12
"2016-12-01",4714,3403.7500000000000000,12
