"sales_month","kind_of_business","pctg_yearly"
"2009-02-01","Men's clothing stores",6.7455460356317149
"2009-02-01","Women's clothing stores",6.7230619886284843
"2009-03-01","Men's clothing stores",7.3711410308717530
"2009-03-01","Women's clothing stores",8.1902648731105256
"2009-04-01","Men's clothing stores",9.0983272133822929
"2009-04-01","Women's clothing stores",9.0528359450838996
"2009-05-01","Men's clothing stores",8.8399292805657555
"2009-05-01","Women's clothing stores",9.0972125918735266
"2009-06-01","Men's clothing stores",8.2551339589283286
"2009-06-01","Women's clothing stores",8.0266259880737762
"2009-07-01","Men's clothing stores",7.8199374405004760
"2009-07-01","Women's clothing stores",7.5329357925391763
"2009-08-01","Men's clothing stores",7.4935400516795866
"2009-08-01","Women's clothing stores",8.1597559284426571
"2009-09-01","Men's clothing stores",7.8743370053039576
"2009-09-01","Women's clothing stores",8.1514353071696020
"2009-10-01","Men's clothing stores",8.2959336325309398
"2009-10-01","Women's clothing stores",8.5841076133684648
"2009-11-01","Men's clothing stores",8.4319325445396437
"2009-11-01","Women's clothing stores",8.8448204132575232
"2009-12-01","Men's clothing stores",12.6478988168094655
"2009-12-01","Women's clothing stores",11.2994036888087644
"2010-01-01","Men's clothing stores",6.5339739190116678
"2010-01-01","Women's clothing stores",6.1130273282037676
"2010-02-01","Men's clothing stores",6.4653397391901167
"2010-02-01","Women's clothing stores",6.5799946935526665
"2010-03-01","Men's clothing stores",7.7968428277282086
"2010-03-01","Women's clothing stores",8.7370655346245689
"2010-04-01","Men's clothing stores",8.6479066575154427
"2010-04-01","Women's clothing stores",8.8458477049615283
"2010-05-01","Men's clothing stores",8.6067261496225120
"2010-05-01","Women's clothing stores",8.7768638896258955
"2010-06-01","Men's clothing stores",8.2086479066575154
"2010-06-01","Women's clothing stores",7.9464048819315468
"2010-07-01","Men's clothing stores",7.4673987645847632
"2010-07-01","Women's clothing stores",7.5537277792517909
"2010-08-01","Men's clothing stores",7.0967741935483871
"2010-08-01","Women's clothing stores",7.8535420535951181
"2010-09-01","Men's clothing stores",7.7282086479066575
"2010-09-01","Women's clothing stores",8.1215176439373839
"2010-10-01","Men's clothing stores",8.7028140013726836
"2010-10-01","Women's clothing stores",8.5274608649509154
"2010-11-01","Men's clothing stores",9.1832532601235415
"2010-11-01","Women's clothing stores",9.1642345449721412
"2010-12-01","Men's clothing stores",13.5621139327385038
"2010-12-01","Women's clothing stores",11.7803130803926771
"2011-01-01","Men's clothing stores",6.1959287531806616
"2011-01-01","Women's clothing stores",5.8554734318817419
"2011-02-01","Men's clothing stores",6.3231552162849873
"2011-02-01","Women's clothing stores",6.8742508989212944
"2011-03-01","Men's clothing stores",7.6208651399491094
"2011-03-01","Women's clothing stores",8.6121654015181782
"2011-04-01","Men's clothing stores",8.7786259541984733
"2011-04-01","Women's clothing stores",8.9442668797443068
"2011-05-01","Men's clothing stores",8.6132315521628499
"2011-05-01","Women's clothing stores",8.7594886136636037
"2011-06-01","Men's clothing stores",8.4096692111959288
"2011-06-01","Women's clothing stores",8.2026568118258090
"2011-07-01","Men's clothing stores",7.4681933842239186
"2011-07-01","Women's clothing stores",7.6408310027966440
"2011-08-01","Men's clothing stores",6.9847328244274809
"2011-08-01","Women's clothing stores",7.5584298841390332
"2011-09-01","Men's clothing stores",8.1806615776081425
"2011-09-01","Women's clothing stores",8.2426088693567719
"2011-10-01","Men's clothing stores",8.6768447837150127
"2011-10-01","Women's clothing stores",8.2326208549740312
"2011-11-01","Men's clothing stores",8.9949109414758270
"2011-11-01","Women's clothing stores",9.0516380343587695
"2011-12-01","Men's clothing stores",13.7531806615776081
"2011-12-01","Women's clothing stores",12.0255693168198162
"2012-01-01","Men's clothing stores",6.3467117988394584
"2012-01-01","Women's clothing stores",6.0869981337034024
"2012-02-01","Men's clothing stores",6.5884912959381044
"2012-02-01","Women's clothing stores",7.2642006029573623
"2012-03-01","Men's clothing stores",7.5314313346228240
"2012-03-01","Women's clothing stores",9.1879217112504187
"2012-04-01","Men's clothing stores",8.5952611218568665
"2012-04-01","Women's clothing stores",8.5945351007321625
"2012-05-01","Men's clothing stores",8.7645067698259188
"2012-05-01","Women's clothing stores",8.8361965832416136
"2012-06-01","Men's clothing stores",8.4985493230174081
"2012-06-01","Women's clothing stores",8.0729291285830502
"2012-07-01","Men's clothing stores",7.4105415860735010
"2012-07-01","Women's clothing stores",7.4029765038043738
"2012-08-01","Men's clothing stores",7.4830754352030948
"2012-08-01","Women's clothing stores",7.8575872134756185
"2012-09-01","Men's clothing stores",8.3051257253384913
"2012-09-01","Women's clothing stores",7.9891850504857157
"2012-10-01","Men's clothing stores",8.5831721470019342
"2012-10-01","Women's clothing stores",8.3313394267119682
"2012-11-01","Men's clothing stores",8.8370406189555126
"2012-11-01","Women's clothing stores",9.1472460161745705
"2012-12-01","Men's clothing stores",13.0560928433268859
"2012-12-01","Women's clothing stores",11.2288845288797435
"2013-01-01","Men's clothing stores",6.9088811995386390
"2013-01-01","Women's clothing stores",6.3751884557398234
"2013-02-01","Men's clothing stores",6.4590542099192618
"2013-02-01","Women's clothing stores",6.7150070596118410
"2013-03-01","Men's clothing stores",7.8662053056516724
"2013-03-01","Women's clothing stores",8.9334003398186039
"2013-04-01","Men's clothing stores",8.2814302191464821
"2013-04-01","Women's clothing stores",8.4021346351736186
"2013-05-01","Men's clothing stores",8.6389850057670127
"2013-05-01","Women's clothing stores",8.9597243161748869
"2013-06-01","Men's clothing stores",7.8200692041522491
"2013-06-01","Women's clothing stores",7.8325795103740398
"2013-07-01","Men's clothing stores",7.4740484429065744
"2013-07-01","Women's clothing stores",7.6195946107641132
"2013-08-01","Men's clothing stores",7.9238754325259516
"2013-08-01","Women's clothing stores",8.3375212386627420
"2013-09-01","Men's clothing stores",7.8546712802768166
"2013-09-01","Women's clothing stores",7.8804412855672817
"2013-10-01","Men's clothing stores",9.0542099192618224
"2013-10-01","Women's clothing stores",8.4117069902122670
"2013-11-01","Men's clothing stores",9.2041522491349481
"2013-11-01","Women's clothing stores",9.1655299495058272
"2013-12-01","Men's clothing stores",12.5144175317185698
"2013-12-01","Women's clothing stores",11.3671716083949554
"2014-01-01","Men's clothing stores",6.4599774520856821
"2014-01-01","Women's clothing stores",5.9386650631389056
"2014-02-01","Men's clothing stores",7.1702367531003382
"2014-02-01","Women's clothing stores",6.7901383042693927
"2014-03-01","Men's clothing stores",7.9143179255918828
"2014-03-01","Women's clothing stores",8.5339747444377631
"2014-04-01","Men's clothing stores",8.8500563697857948
